informal,formal
ගොබ්බ,
හයිය,ශක්තිය
ඕන,අවශ්‍ය
නිකරුනේ,නිස්කාරණයේ
සිරා,ඇත්ත
සිරාවටම,ඇත්තටම
සුපිරි,විශිෂ්ට
මරු,විශිෂ්ට
මරුවට,විශිෂ්ට ලෙස
සුපිරියට,විශිෂ්ට ලෙස
හැත්ත,මිනිස්සු
හැතිකරේ,පිරිස
සනුහරේ,පිරිස
ඔයැ‍යිලා,ඔබලා
ඔයැ‍යිනුත්,ඔබත්
තිවුන,තිබුන
තිබිච්ච,තිබුන
අඩුගානේ,අඩුම තරමේ
මුලින්ම,පළමුව
මුලදි,ආරම්බයේදි
නෙහ්,නේද
එහෙමෙයි,එහෙමද
ඕනේ,අවශ්‍ය
දිහාවක,පැත්තක
ඩබල,දෙපළ
ඇරෙන්න,හැරුනු කොට
ලේසි,පහසු
ලේසියට,පහසුවට
ලේසියෙන් ,පහසුවෙන්
ඔයිට ,ඊට
හැබැයි ,නමුත්
ඔහෙත් ,ඔබත්
පහුකර ,පසුකර 
ඉස්සරහින්,ඉදිරියෙන්
අප්පිරිය ,අප්‍රිය
අප්පිරියාවෙන් ,අප්‍රියාවෙන්
හයියෙන් ,වේගයෙන්
සද්දය,ශබ්ද
සද්දේ,ශබ්දය
සද්දෙ,ශබ්දය
කරුමේ ,කර්මය
කරුමෙට ,අවාසනාවට
කරුමෙන් ,කර්මයෙන්
හිමින්  ,සෙමින්
හිමීට ,සෙමින්
ඉදන් ,සිට
ඉදලා,සිට
ඔයගොල්ලො ,ඔබලා
ඕගොල්ලෝ ,ඔබලා
දෙයියො ,දෙවියො
දෙයියා,දෙවියා
දෙයියන්ට,දෙවියන්ට
දෙයියොම,දෙවියොම
දෙයියොන්ගෙ,දෙවියොන්ගෙ
ආයෙත්,නැවතත්
ආයෙනම් ,නැවත නම්
ආය ආය ,නැවත නැවත
ආයිනම්,නැවත නම්
ආයෙ ආයෙ,නැවත නැවත
මන්ගල්ලෙ,මන්ගල්‍යය
මන්ගල්ල,මන්ගල්‍ය
එක්කහු ,එකතු
ලියුම් ,ලිපි
ලියුම ,ලිපිය
ලියුමක් ,ලිපියක්
ලියුමේ ,ලිපියේ
ලියුමෙන් ,ලිපියෙන්
කඩදහි,කඩදාසි
පාවිච්චි ,බාවිතා
පාවිච්චියෙන් ,බාවිතයෙන් 
පාවිච්චියට ,බාවිතයට
පාවිච්චිය ,බාවිතය
පාවිච්චියේ ,බාවිතයේ
මේන් ,මෙන්න
ඕන් ,ඔන්න
බාගදා ,සමහරවිට
කැලය,වනාන්තරය
කැලයෙන්,වනාන්තරයෙන්
කැලයෙදී,වනාන්තරයෙදී
කැලේ,වනාන්තරය
කැලෙන්,වනාන්තරයෙන්
විතර,පමණ
මේච්චරක් ,මෙපමණ
මෙච්චක්,මෙපමණ
බැරි,නොහැකි
බැරිම,නොහැකිම
බැරිනම්,නොහැකිනම්
හිච්චි ,කුඩා
ඉස්පිරිතාලේ,
ඉස්පිරිතාලය,රෝහල
ඉස්පිරිතාලෙ,රෝහලට
ඉස්පිරිතාලයට,රෝහලට
ඉස්පිරිතාලෙන්,රෝහලෙන්
ඉස්පිරිතාලයෙන්,රෝහලෙන්
ඉස්පිරිතාලෙදී,රෝහලේදී
ඉස්පිරිතාලයෙදී,රෝහලේදී
ඉස්පිරිතාලෙත්,රෝහලෙත්
ඉස්පිරිතාලයෙත්,රෝහලෙත්
හන්දිය,මන්සන්ධිය
හන්දියේ,මන්සන්ධියේ
හන්දියට,මන්සන්ධියට
හන්දියෙන්,මන්සන්ධියෙන්
හන්දියෙදී,මන්සන්ධියෙදී
හන්දියෙත්,මන්සන්ධියෙත්
හන්දිවල,මන්සන්ධිවල
ගාවින් ,අසළින්
ගාව,අසළ
ගාවදි,අසළදි
ගාවනම්,අසළනම්
ගාවට,අසළට
ගාවටනම්,අසළටනම්
ගාවටවත්,අසළටවත්
ඔයා,ඔබ
ඔයාට,ඔබට
ඔයාගේ,ඔබගේ
ඔයත්,ඔබත්
ඔයාගෙන්,ඔබගෙන්
ඔයාම,ඔබම
ඔයානම්,ඔබනම්
ඔයාගෙත්,ඔබගෙත්
ඔයාගෙනම්,ඔබගෙනම්
විතරයි,පමණයි
විතරද,පමණද
විතරයිද,පමණයිද
විතරනම්,පමණක්නම්
විතරක්,පමණක්
ඔව්වා ,ඕවා
ඔව්වනම්,ඕවනම්
ඔව්වත්,ඕවත්
ඔව්වට,ඕවට
ඕනකම,උවමනාව
ඕනකමට,උවමනාවට
ඕනකමින්ම,උවමනාවෙන්ම
ඕනකමටම,උවමනාවටම
හැමවෙලාවෙම ,සෑම විටම
හැමවෙලාවටම,සෑම විටම
හැමවෙලාවෙදිම,සෑම විටදීම
හැමවෙලේම,සෑම විටම
හින්දා,නිසා
හින්දම,නිසාම 
හින්දත්,නිසත්
