Noun,Replacement,Immediate Noun
දදය,කොඩිය,සන්ගම්
ඉර,සූර්යයා,වලාකුළ
ඉර,සූර්යයා,පෘථිවියේ
ඉර,සූර්යයා,තරු
ඉර,සූර්යයා,තාරකා
ඉර,සූර්යයා,රශ්මිය
ඉර,සූර්යයා,රස්නය
ඉර,සූර්යයා,රස්නේ
ඉර,සූර්යයා,කදු
ඉර,සූර්යයා,කදු පෙළ
ඉර,රේඛාව,පුළුල්
ඉර,රේඛාව,සිරස්
ඉර,රේඛාව,කෙලින්
ඉර,රේඛාව,ඇදේට
ඉර,රේඛාව,මහත
ඉර,රේඛාව,හීනි
ඉර,රේඛාව,පෑනින්
ඉර,රේඛාව,පැන්සලෙන්
ඉර,රේඛාව,පොතේ
ඉර,රේඛාව,මාතෘකාව
ඉර,රේඛාව,මාතෘකාවට
ඉර,රේඛාව,තිරස්
ඉර,සූර්යයා,එළිය
ඉර,සූර්යයා,දෙවියා
ඉර,සූර්යයා,දෙවියන්
ඉර,සූර්යයා,දෙවියෝ
ඉර,සූර්යයා,දහවල්
ඉර,සූර්යයා,උදේ
ඉර,සූර්යයා,උදයේ
ඉර,සූර්යයා,උදෑසන
ඉර,සූර්යයා,උදෑසනින්
ඉර,සූර්යයා,උදයෙන්
ඉර,සූර්යයා,දවල්
ඉර,රේඛාව,සමාන්තර
ඉර,රේඛාව,සරල
ඉර,රේඛාව,අත්ලේ
ඉර,රේඛාව,අතේ
ඉර,රේඛාව,අත
ඉර,රේඛාව,රිදී
ඉර,රේඛාව,මැකුණු
ඉර,රේඛාව,මැකී ගිය
ඉර,රේඛාව,බොද
කුප්පි,කුප්පි,බෙහෙත්
කුප්පි,කුප්පි,පාට
කුප්පි,කුප්පි,කුඩා
කුප්පි,කුප්පි,බූමිතෙල්
කුප්පි,කුප්පි,ලන්තෑරුම්
කුප්පි,කුප්පි,තෙල්
කුප්පි,කුප්පි,ගිතෙල්
කුප්පි,කුප්පි,වස
කුප්පි,කුප්පි,විශ
කුප්පි,කුප්පි,පැහැති
කුප්පි,කුප්පි,පාටැති
කුප්පි,කුප්පි,අවර්ණ
කුප්පි,කුප්පි,වහපු
කුප්පි,කුප්පි,ඇරපු
කුප්පි,කුප්පි,වහ
කුප්පි,කුප්පි,ඖෂධ
කුප්පි,කුප්පි,වීදුරු
කුප්පි,කුප්පි,ප්ලාස්ටික්
කුප්පි,කුප්පි,කැඩුණු
කුප්පි,කුප්පි,බිදුණු
කුප්පි,කුප්පි,කහ
කුප්පි,කුප්පි,කොළ
කුප්පි,කුප්පි,රතු
කුප්පි,කුප්පි,නිල්
කුප්පි,කුප්පි,දම්
කුප්පි,පුණරීක්ෂණ වැඩසටහන,සරසවියේ
කුප්පි,පුණරීක්ෂණ වැඩසටහන,සරසවිය
කුප්පි,පුණරීක්ෂණ වැඩසටහන,විශය
කුප්පි,පුණරීක්ෂණ වැඩසටහන,සිසුන්
කුප්පි,පුණරීක්ෂණ වැඩසටහන,ශිශ්ය
කුප්පි,පුණරීක්ෂණ වැඩසටහන,දුර්වල
කුප්පි,පුණරීක්ෂණ වැඩසටහන,අදක්ශ
කුප්පි,පුණරීක්ෂණ වැඩසටහන,ළමයින්ට
කුප්පි,පුණරීක්ෂණ වැඩසටහන,ළමයි
කුප්පි,පුණරීක්ෂණ වැඩසටහන,දක්ශ
කුප්පි,පුණරීක්ෂණ වැඩසටහන,විභාගය
කුප්පි,පුණරීක්ෂණ වැඩසටහන,විශ්ව විද්යාලය
කුප්පි,පුණරීක්ෂණ වැඩසටහන,විභාගේ
කුප්පි,පුණරීක්ෂණ වැඩසටහන,ප්‍රශ්න පත්‍රය
කුප්පි,පුණරීක්ෂණ වැඩසටහන,ප්‍රශ්න
කුප්පි,පුණරීක්ෂණ වැඩසටහන,පාඩම
කුප්පි,පුණරීක්ෂණ වැඩසටහන,පාඩම්
කුප්පි,පුණරීක්ෂණ වැඩසටහන,උත්තර
කුප්පි,පුණරීක්ෂණ වැඩසටහන,උත්තරේ
කුප්පි,පුණරීක්ෂණ වැඩසටහන,පිළිතුරු
කුප්පි,පුණරීක්ෂණ වැඩසටහන,පිළිතුර
පඩිය,වැටුප,මාසේ
පඩිය,වැටුප,මාසයේ
පඩිය,වැටුප,මාසික
පඩිය,වැටුප,මසකට
පඩිය,වැටුප,මුදල්
පඩිය,වැටුප,ආයතනයේ
පඩිය,වැටුප,ආයතනය
පඩිය,වැටුප,මාස්පතා
පඩිය,වැටුප,ආදායම
පඩිය,වැටුප,මූලික
පඩිය,වැටුප,රැකියාවේ
පඩිය,වැටුප,රැකියාවෙන්
පඩිය,වැටුප,රැකියාව
පඩිය,වැටුප,රක්සාව
පඩිය,වැටුප,දෛනික
පඩිය,වැටුප,වියදම
පඩිය,වැටුප,විශ්‍රාම
පඩිය,වැටුප,සේවය
පඩිය,වැටුප,ශ්‍රමය
පඩිය,වැටුප,මහන්සිය
පඩිය,වැටුප,අවම
පඩිය,වැටුප,ඔහුගේ
පඩිය,වැටුප,ඇයගේ
පඩිය,වැටුප,ඔවුන්ගේ
පඩිය,වැටුප,ඔබලගේ
පඩිය,වැටුප,අපේ
පඩිය,වැටුප,මගේ
පඩිය,වැටුප,කීයක්
පඩිය,වැටුප,මුලික
පඩිය,වැටුප,සේවක
පඩිය,තරප්පු,ලී
පඩිය,තරප්පු,යකඩ
පඩිය,තරප්පු,කැඩුණු
පඩිය,තරප්පු,කැඩිච්ච
පඩිය,තරප්පු,ඇලුමිනියම්
පඩිය,තරප්පු,ගණන
පඩිය,තරප්පු,ලිස්සන
පඩිය,තරප්පු,සෙවෙල
පඩිය,තරප්පු,උස
පඩිය,තරප්පු,මිටි
පඩිය,තරප්පු,කන්ද
පඩිය,තරප්පු,කන්දට
පඩිය,තරප්පු,උඩට
කොළ,පත්‍ර,ගහේ
කොළ,පත්‍ර,වැලේ
කොළ,පත්‍ර,ගහ
කොළ,පත්‍ර,වැල
කොළ,පත්‍ර,ගස්වල
කොළ,පත්‍ර,ගස්වලින්
කොළ,පත්‍ර,වැල්වලින්
කොළ,පත්‍ර,වනයේ
කොළ,පත්‍ර,වනාන්තරයේ
කොළ,පත්‍ර,අමු
කොළ,පත්‍ර,උයපු
කොළ,පත්‍ර,කපපු
කොළ,පත්‍ර,ගසින්
කොළ,පත්‍ර,ගහෙන්
කොළ,පත්‍ර,වැලෙන්
කොළ,පත්‍ර,ගුණදායක
කොළ,පත්‍ර,ගද
කොළ,පත්‍ර,සුවද
කොළ,පත්‍ර,අඹ
කොළ,පත්‍ර,පැපොල්
කොළ,පත්‍ර,ගස්ලබු
කොළ,පත්‍ර,අක්කපාන
කොළ,පත්‍ර,පලා
කොළ,පත්‍ර,නිවිති
කොළ,පත්‍ර,කරපිංචා
කොළ,පත්‍ර,කොස්
කොළ,පත්‍ර,පොල්
කොළ,පත්‍ර,දෙල්
කොළ,පත්‍ර,තේ
කොළ,පත්‍ර,රබර්
කොළ,පත්‍ර,මල්
කොළ,පත්‍ර,ගෙඩි
කොළ,පත්‍ර,ඇට
කොළ,කඩදාසි,ඉරුණු
කොළ,කඩදාසි,ඉරිච්ච
කොළ,කඩදාසි,ඉරිල ගිය
කොළ,කඩදාසි,ඉරී
කොළ,කඩදාසි,කොටු
කොළ,කඩදාසි,තනිරූල්
කොළ,කඩදාසි,පොතේ
කොළ,කඩදාසි,පොත්වල
කොළ,කඩදාසි,පොත
කොළ,කඩදාසි,පත්තර
කොළ,කඩදාසි,පත්තරේ
කොළ,කඩදාසි,පෑන
කොළ,කඩදාසි,පැන්සල
කොළ,කඩදාසි,හිස්
ශීර්ෂය,මුදුන,කඳු
ශීර්ෂය,මුදුන,කන්ද
ශීර්ෂය,මුදුන,ගොඩනැගිල්ල
ශීර්ෂය,මුදුන,මුදුන
ශීර්ෂය,මුදුන,උස
ශීර්ෂය,මුදුන,කඳුවල
ශීර්ෂය,මුදුන,ගහේ
ශීර්ෂය,මාතෘකාව,ප්‍රඨාන
ශීර්ෂය,මාතෘකාව,පුවත්පත
ශීර්ෂය,මාතෘකාව,පුවත්පතේ
ශීර්ෂය,මාතෘකාව,පත්තරයේ
ශීර්ෂය,මාතෘකාව,පත්තරය
ශීර්ෂය,මාතෘකාව,පොතේ
ශීර්ෂය,මාතෘකාව,රචනාවේ
ශීර්ෂය,මාතෘකාව,රචනාව
ශීර්ෂය,මාතෘකාව,පොත
ශීර්ෂය,මාතෘකාව,සටහනේ
ශීර්ෂය,මාතෘකාව,සටහන
ශීර්ෂය,මාතෘකාව,වාර්තාව
ශීර්ෂය,මාතෘකාව,වාර්තාවල
ශීර්ෂය,මාතෘකාව,පත්තරවල
ශීර්ෂය,මාතෘකාව,පිටුවේ
ශීර්ෂය,මාතෘකාව,පිටුව
ශීර්ෂය,මාතෘකාව,ලියමන
ශීර්ෂය,මාතෘකාව,ලියුම
ශීර්ෂය,මාතෘකාව,පුවත්වල
ශීර්ෂය,මාතෘකාව,පිළිබද
ශීර්ෂය,හිස,සිරුරේ
ශීර්ෂය,හිස,ශරීරයේ
ශීර්ෂය,හිස,ශරීරය
ශීර්ෂය,හිස,සිරුර
ශීර්ෂය,හිස,ගල්වන්න
ශීර්ෂය,හිස,කෙස්
ශීර්ෂය,හිස,තෙල්
ශීර්ෂය,හිස,අකල
ශීර්ෂය,හිස,අත්
ශීර්ෂය,හිස,කකුල්
ශීර්ෂය,හිස,අත
ශීර්ෂය,හිස,කකුල
ශීර්ෂය,හිස,ඇඟේ
ශීර්ෂය,හිස,ඇඟ
ශීර්ෂය,හිස,පය
ශීර්ෂය,හිස,නාසය
ශීර්ෂය,හිස,ඇස්
ශීර්ෂය,හිස,දෙඇස්
වස,වර්ෂය,මාසය
වස,වර්ෂය,දිනය්
වස,වර්ෂය,මාස්පතා
වස,වර්ෂය,වරක්
වස,වර්ෂය,ලබන
වස,වර්ෂය,ගිය
වස,වර්ෂය,එන
වස,වර්ෂය,වතාවක්
වස,වර්ෂය,ශත
වස,වර්ෂය,පසුගිය
වස,වර්ෂය,සූර්ය
වස,වර්ෂය,අධ්‍යයන
වස,වර්ෂය,නව
වස,වර්ෂය,ශක
වස,විෂ,විස
වස,විෂ,බෝතලය
වස,විෂ,කුප්පිය
වස,විෂ,අනතුරුදායක
වස,විෂ,පළිබෝද
වස,විෂ,වර්ගය
වස,විෂ,ප්‍රථමාදාර
වස,විෂ,බඳුන
වස,විෂ,බෝතල්
වස,විෂ,බෝතලේ
වස,විෂ,සර්ප
වස,විෂ,නයි
වස,විෂ,විකිරණ
වස,විෂ,ලේ
මුල,මුල,ශාක
මුල,මුල,ගස
මුල,මුල,ශාකයේ
මුල,මුල,ශාකවල
මුල,මුල,ගසේ
මුල,මුල,ගස්වල
මුල,මුල,වැලේ
මුල,මුල,වනයේ
මුල,මුල,වනාන්තරයේ
මුල,මුල,ආකන්දී
මුල,මුල,වැල්වල
මුල,ආරම්බයේ,සිට
මුල,ආරම්බයේ,සිටන්
මුල,ආරම්බයේ,පටන්
මුල,ආරම්බයේ,ඉදන්
මුල්,ප්‍රධාන,පුටුව
මුල්,ප්‍රධාන,පුටු
මුල්,ප්‍රධාන,පුටුවෙන්
මුල්,ප්‍රධාන,අසුන
මුල්,ප්‍රධාන,අසුන්වල
මුල්,පළවෙනි,පිටුව
මුල්,පළවෙනි,පොත
මුල්,පළවෙනි,ස්ථානය
මුල්,පළවෙනි,ස්ථානයේ
මුල්,පළවෙනි,තැන
මුල්,පළවෙනි,තැනෙන්
මුල්,පළවෙනි,තැනින්
මුල්,පළවෙනි,අවස්ථාව
මුල්,පළවෙනි,අවස්ථාවලදී
මුල්,පළවෙනි,විටදී
මුල්,පළවෙනි,විටදීම
මුල්,පළවෙනි,අස්වැන්න
මුල්,පළවෙනි,අස්වැන්නෙන්
මුල්,පළවෙනි,අස්වනු
ලිය,කාන්තාව,සුන්දර
ලිය,කාන්තාව,කපටි
ලිය,කාන්තාව,මෝඩ
ලිය,කාන්තාව,නුවණැති
ලිය,කාන්තාව,ලස්සන
ලිය,කාන්තාව,කැත
ලිය,කාන්තාව,පැහැපත්
ලිය,කාන්තාව,නපුරු
ලිය,වැල,ගස
ලිය,වැල,ගසේ
ලිය,වැල,වනාන්තරයේ
ලිය,වැල,වනයේ
ලිය,වැල,ගස්වල
ලිය,වැල,ශාක
ලිය,වැල,ශාකවල
අකුරු,අක්ෂර,පොතේ
අකුරු,අක්ෂර,පොත්වල
අකුරු,අක්ෂර,කොළයේ
අකුරු,අක්ෂර,කඩදාසියේ
අකුරු,අක්ෂර,කොළේ
අකුරු,අක්ෂර,කොළ
අකුරු,අක්ෂර,පිටුවේ
අකුරු,අක්ෂර,පිටු
අකුරු,අක්ෂර,ඇයගේ
අකුරු,අක්ෂර,ඔහුගෙ
අකුරු,අක්ෂර,ඔවුන්ගේ
අකුරු,අක්ෂර,අපේ
අකුරු,අක්ෂර,මගේ
අකුරු,අක්ෂර,ලස්ස්නයි
අකුරු,අක්ෂර,ලස්සන
අකුරු,අක්ෂර,කැත
අකුරු,ගල්කැට,තියුණු
අකුරු,ගල්කැට,මොට
අකුරු,ගල්කැට,පොළොවේ
අකුරු,ගල්කැට,වැලි
අකුරු,ගල්කැට,පොළොව
අකුරු,ගල්කැට,පස්
අකුරු,අන්කුර,ගස
අකුරු,අන්කුර,ගසේ
අකුරු,අන්කුර,වනාන්තරයේ
අකුරු,අන්කුර,වනයේ
අකුරු,අන්කුර,ගස්වල
අකුරු,අන්කුර,ශාක
අකුරු,අන්කුර,ශාකවල
තටුව,පියාපත,තටුව
තටුව,පියාපත,කුරුල්ලා
තටුව,පියාපත,කුරුල්ලාගේ
තටුව,පියාපත,පක්ෂියා
තටුව,පියාපත,පක්ෂීන්
තටුව,පියාපත,පක්ෂියාගේ
තටුව,පියාපත,කුරුලු
තටුව,පියාපත,සමනල්
තටුව,පියාපත,සමනලුන්ගේ
තටුව,පියාපත,ගිරා
තටුව,පියාපත,මොණර
තටුව,පියාපත,කාක්කගේ
තටුව,පියාපත,කැලයේ
තටුව,පියාපත,වනයේ
තටුව,පියාපත,වනාන්තරයේ
තටුව,පියාපත,කුකුල්
තටුව,පියාපත,කුරුල්ලෙක්ගෙන්
තටුව,පියාපත,කුරුල්ලො
තටුව,පියාපත,පක්ශියා
තටුව,පියාපත,උකුසු
තටුව,පියාපත,උකුස්සාගේ
තටුව,පියාපත,මයින
තටුව,පියාපත,මයිනගේ
තටුව,වට්ටිය,පෙරේත
තටුව,වට්ටිය,ප්‍රේත
තටුව,වට්ටිය,යක්
තටුව,පියාපත,සමනල
